symbol,entry_time,entry_price,exit_price,rsi,adx,result,pnl_pct
BTC/USDT,2025-04-27 00:00,94156.21,94156.21,59.56,42.49,WIN,0.638
BTC/USDT,2025-04-28 00:00,93849.93,93849.93,54.61,37.94,WIN,0.587
BTC/USDT,2025-04-28 04:00,94692.49,93404.788925,61.24,37.04,LOSS,-1.36
BTC/USDT,2025-04-29 00:00,94658.76,93205.748284,56.05,32.42,LOSS,-1.535
BTC/USDT,2025-04-29 04:00,94917.61,93492.384835,57.73,31.4,LOSS,-1.502
BTC/USDT,2025-04-29 12:00,94843.1,93486.998302,56.43,29.88,LOSS,-1.43
BTC/USDT,2025-04-29 16:00,95300.79,93961.452709,59.58,29.22,LOSS,-1.405
BTC/USDT,2025-05-01 08:00,96180.01,96180.01,62.16,20.23,WIN,0.636
BTC/USDT,2025-05-06 16:00,94963.5,97629.672981,50.12,27.07,WIN,1.965
BTC/USDT,2025-05-07 00:00,96506.9,99623.405785,59.7,26.04,WIN,2.261
BTC/USDT,2025-05-07 12:00,96923.91,99768.190594,61.48,26.44,WIN,2.054
BTC/USDT,2025-05-07 16:00,96180.01,99073.219837,54.71,25.31,WIN,2.106
BTC/USDT,2025-05-11 12:00,104150.0,104150.0,64.11,58.57,WIN,0.674
BTC/USDT,2025-05-12 00:00,104100.13,104100.13,62.73,60.04,WIN,0.674
BTC/USDT,2025-05-12 04:00,104467.99,102741.096482,64.53,60.81,LOSS,-1.653
BTC/USDT,2025-05-12 08:00,103762.9,102048.211019,58.69,61.23,LOSS,-1.653
BTC/USDT,2025-05-13 12:00,103682.55,101795.120437,56.16,40.48,LOSS,-1.82
BTC/USDT,2025-05-13 16:00,104792.22,102895.199834,61.15,39.57,LOSS,-1.81
BTC/USDT,2025-05-14 12:00,103514.24,101751.707588,52.78,32.4,LOSS,-1.703
BTC/USDT,2025-05-15 12:00,103251.35,106917.540191,51.71,24.91,WIN,2.486
BTC/USDT,2025-05-15 16:00,103157.26,106913.083035,51.1,23.69,WIN,2.549
BTC/USDT,2025-05-16 00:00,104023.49,104023.49,56.3,22.0,WIN,0.712
BTC/USDT,2025-05-16 08:00,103651.71,103651.71,53.5,20.21,WIN,0.669
BTC/USDT,2025-05-19 12:00,104786.41,104786.41,54.85,20.47,WIN,0.818
BTC/USDT,2025-05-19 16:00,105517.7,109728.290998,57.69,21.71,WIN,2.793
BTC/USDT,2025-05-20 00:00,105761.92,109837.307136,58.68,24.79,WIN,2.697
BTC/USDT,2025-05-20 12:00,105333.68,109240.238986,55.94,26.1,WIN,2.596
BTC/USDT,2025-05-21 04:00,106527.16,106527.16,59.78,30.0,WIN,0.762
BTC/USDT,2025-06-03 00:00,105482.02,105482.02,51.16,26.05,WIN,0.621
BTC/USDT,2025-06-03 12:00,106610.66,105131.474542,58.18,22.61,LOSS,-1.387
BTC/USDT,2025-06-03 16:00,106238.81,104757.830646,55.41,22.47,LOSS,-1.394
BTC/USDT,2025-06-11 12:00,109735.7,108346.348613,63.6,30.89,LOSS,-1.266
BTC/USDT,2025-06-11 16:00,108742.37,107311.874997,55.48,30.53,LOSS,-1.315
BTC/USDT,2025-06-20 08:00,105977.82,104544.20759,55.41,21.61,LOSS,-1.353
BTC/USDT,2025-06-27 08:00,106983.6,106983.6,57.42,22.12,WIN,0.605
BTC/USDT,2025-06-27 12:00,107308.25,107308.25,59.62,20.88,WIN,0.602
BTC/USDT,2025-06-29 20:00,108356.93,107280.871721,61.59,20.09,LOSS,-0.993
BTC/USDT,2025-06-30 00:00,108503.74,107451.125026,62.58,21.6,LOSS,-0.97
BTC/USDT,2025-06-30 04:00,107614.08,106530.90681,53.55,21.34,LOSS,-1.007
BTC/USDT,2025-07-02 04:00,107080.0,109664.135301,51.81,21.22,WIN,1.689
BTC/USDT,2025-07-02 20:00,108849.6,108849.6,60.67,21.26,WIN,0.508
BTC/USDT,2025-07-03 12:00,109127.84,107766.790679,59.89,23.95,LOSS,-1.247
BTC/USDT,2025-07-14 12:00,119878.23,118028.61021,63.17,53.97,LOSS,-1.543
BTC/USDT,2025-07-14 16:00,119939.41,118089.50291,63.4,52.65,LOSS,-1.542
BTC/USDT,2025-07-16 12:00,119095.76,119095.76,58.23,31.32,WIN,0.737
BTC/USDT,2025-07-17 20:00,119177.56,117043.01753,57.66,27.96,LOSS,-1.791
BTC/USDT,2025-07-18 04:00,119339.51,117181.81886,56.47,28.84,LOSS,-1.808
BTC/USDT,2025-07-18 08:00,119171.34,117060.348656,55.26,28.06,LOSS,-1.771
BTC/USDT,2025-08-04 12:00,114826.0,113430.674775,49.96,27.33,LOSS,-1.215
BTC/USDT,2025-08-08 00:00,116737.35,119855.37432,60.06,22.28,WIN,1.87
BTC/USDT,2025-08-08 12:00,116207.69,119227.295398,54.86,22.35,WIN,1.819
BTC/USDT,2025-08-09 04:00,116756.01,116756.01,58.04,21.14,WIN,0.471
BTC/USDT,2025-08-09 08:00,117110.0,119915.765213,60.5,22.2,WIN,1.677
BTC/USDT,2025-08-10 04:00,117808.3,120709.007199,60.78,26.58,WIN,1.724
BTC/USDT,2025-08-11 16:00,119089.3,122715.592721,55.93,37.38,WIN,2.132
BTC/USDT,2025-08-12 04:00,118986.72,122390.369624,55.08,32.05,WIN,2.002
BTC/USDT,2025-08-12 12:00,119933.0,123396.031768,59.65,29.27,WIN,2.021
BTC/USDT,2025-08-13 08:00,120570.41,123924.948467,61.28,25.8,WIN,1.948
BTC/USDT,2025-08-13 12:00,120920.62,120920.62,62.98,26.64,WIN,0.589
BTC/USDT,2025-08-14 04:00,121725.31,119892.09072,59.99,30.4,LOSS,-1.506
BTC/USDT,2025-08-23 12:00,114812.87,113141.640593,49.9,29.11,LOSS,-1.456
BTC/USDT,2025-09-11 12:00,114180.31,116900.090336,63.3,21.46,WIN,1.667
BTC/USDT,2025-09-14 12:00,115224.01,115224.01,54.38,37.34,WIN,0.36
BTC/USDT,2025-09-15 04:00,115806.62,114759.73124,59.03,33.53,LOSS,-0.904
BTC/USDT,2025-09-15 16:00,115307.78,115307.78,52.93,29.78,WIN,0.41
BTC/USDT,2025-09-16 04:00,115840.0,114760.281216,58.22,27.31,LOSS,-0.932
BTC/USDT,2025-09-16 12:00,115905.88,115905.88,57.44,25.6,WIN,0.414
BTC/USDT,2025-09-17 20:00,116447.59,116447.59,56.19,20.57,WIN,0.492
BTC/USDT,2025-09-18 00:00,117581.66,116159.347644,63.29,20.01,LOSS,-1.21
BTC/USDT,2025-09-30 08:00,113055.01,115558.647339,59.71,43.01,WIN,1.55
BTC/USDT,2025-09-30 12:00,113106.16,115604.777529,60.06,41.76,WIN,1.546
BTC/USDT,2025-10-08 08:00,122884.14,121045.467342,53.5,35.52,LOSS,-1.496
BTC/USDT,2025-10-08 16:00,123450.0,121498.010024,55.95,32.96,LOSS,-1.581
BTC/USDT,2025-10-27 20:00,114107.65,114107.65,61.28,33.36,WIN,0.581
BTC/USDT,2025-10-28 12:00,114641.38,113089.598966,64.05,33.28,LOSS,-1.354
BTC/USDT,2025-10-28 16:00,113689.99,112046.553468,54.71,33.25,LOSS,-1.446
BTC/USDT,2026-09-17 12:00,76780.01,79417.801559,50.06,27.77,WIN,2.405
BTC/USDT,2026-09-18 04:00,77798.01,80326.965107,60.98,23.96,WIN,2.275
BTC/USDT,2026-09-18 08:00,78062.0,80588.341885,63.24,23.95,WIN,2.265
ETH/USDT,2025-07-15 04:00,2977.49,3144.662684,55.69,45.91,WIN,3.93
ETH/USDT,2025-07-15 12:00,3039.93,3211.645478,63.49,42.93,WIN,3.954
ETH/USDT,2025-07-15 16:00,3040.88,3214.252229,63.6,42.75,WIN,3.991
ETH/USDT,2025-07-22 00:00,3731.14,3618.140534,62.85,45.05,LOSS,-3.029
ETH/USDT,2025-07-22 08:00,3705.3,3589.34943,58.18,40.34,LOSS,-3.129
ETH/USDT,2025-07-22 12:00,3718.11,3600.130614,59.42,38.1,LOSS,-3.173
ETH/USDT,2025-07-24 12:00,3730.76,3601.691126,57.61,26.88,LOSS,-3.46
ETH/USDT,2025-07-25 08:00,3721.37,3721.37,55.3,23.62,WIN,1.508
ETH/USDT,2025-07-28 12:00,3808.11,3707.118339,55.16,23.32,LOSS,-2.652
ETH/USDT,2025-07-28 16:00,3797.36,3797.36,53.66,22.12,WIN,1.136
ETH/USDT,2025-08-04 12:00,3648.89,3648.89,58.86,36.47,WIN,1.154
ETH/USDT,2025-08-04 16:00,3669.73,3571.504764,60.8,35.36,LOSS,-2.677
ETH/USDT,2025-08-05 00:00,3651.94,3552.83322,56.11,33.55,LOSS,-2.714
ETH/USDT,2025-08-05 04:00,3613.49,3827.440839,51.79,31.66,WIN,4.145
ETH/USDT,2025-08-06 04:00,3639.82,3863.0073,53.76,22.49,WIN,4.292
ETH/USDT,2025-08-06 12:00,3664.69,3884.934152,55.73,20.07,WIN,4.207
ETH/USDT,2025-08-11 08:00,4185.1,4437.039522,59.98,46.83,WIN,4.214
ETH/USDT,2025-08-11 16:00,4259.39,4537.921221,61.66,44.9,WIN,4.577
ETH/USDT,2025-08-14 12:00,4618.87,4469.514558,61.0,51.03,LOSS,-3.234
ETH/USDT,2025-08-20 16:00,4346.65,4665.948183,52.98,24.9,WIN,5.142
ETH/USDT,2025-08-24 20:00,4780.15,4634.44359,64.19,32.52,LOSS,-3.048
ETH/USDT,2025-08-26 16:00,4596.7,4437.496349,53.14,21.32,LOSS,-3.463
ETH/USDT,2025-09-11 12:00,4412.52,4597.963197,57.66,21.74,WIN,2.942
ETH/USDT,2025-09-15 04:00,4597.37,4512.312274,53.26,30.23,LOSS,-1.85
ETH/USDT,2025-09-17 04:00,4544.07,4458.699326,51.62,23.05,LOSS,-1.879
ETH/USDT,2025-09-17 20:00,4590.53,4493.468152,57.79,22.75,LOSS,-2.114
ETH/USDT,2025-09-18 00:00,4614.42,4517.871142,60.29,21.14,LOSS,-2.092
ETH/USDT,2025-09-30 04:00,4182.13,4099.024331,61.01,31.22,LOSS,-1.987
ETH/USDT,2025-09-30 08:00,4165.39,4341.298322,58.26,29.86,WIN,2.956
ETH/USDT,2025-09-30 12:00,4119.87,4300.647727,51.46,27.74,WIN,3.072
ETH/USDT,2025-09-30 16:00,4160.1,4344.750033,56.31,25.8,WIN,3.107
ETH/USDT,2025-09-30 20:00,4145.15,4334.799316,54.14,24.55,WIN,3.203
ETH/USDT,2025-10-05 08:00,4551.06,4551.06,64.89,49.64,WIN,0.909
ETH/USDT,2025-10-06 00:00,4537.08,4729.552069,60.65,47.47,WIN,2.97
ETH/USDT,2025-10-27 20:00,4120.15,4026.330273,59.55,30.77,LOSS,-2.277
ETH/USDT,2026-09-11 16:00,2539.49,2473.862081,61.4,20.61,LOSS,-2.584
SOL/USDT,2025-08-05 08:00,170.89,165.674138,58.59,33.84,LOSS,-3.052
SOL/USDT,2025-08-07 12:00,170.49,181.33765,56.06,24.49,WIN,4.454
SOL/USDT,2025-08-07 16:00,171.75,182.881389,58.09,23.8,WIN,4.537
SOL/USDT,2025-08-08 12:00,175.23,186.382069,59.91,27.39,WIN,4.455
SOL/USDT,2025-08-09 12:00,180.09,180.09,64.33,34.61,WIN,1.211
SOL/USDT,2025-08-09 20:00,179.95,179.95,61.48,36.16,WIN,1.205
SOL/USDT,2025-08-10 04:00,178.94,178.94,55.65,37.43,WIN,1.387
SOL/USDT,2025-08-10 08:00,179.97,179.97,57.1,37.31,WIN,1.365
SOL/USDT,2025-08-10 20:00,182.66,177.276553,60.69,38.55,LOSS,-2.947
SOL/USDT,2025-08-11 04:00,182.97,177.506507,59.25,40.55,LOSS,-2.986
SOL/USDT,2025-08-11 12:00,180.19,174.563274,53.49,37.36,LOSS,-3.123
SOL/USDT,2025-08-12 12:00,181.7,193.957004,56.95,27.46,WIN,4.722
SOL/USDT,2025-08-14 12:00,194.85,186.10408,54.61,37.71,LOSS,-4.489
SOL/USDT,2025-08-24 12:00,205.62,205.62,63.93,29.82,WIN,1.476
SOL/USDT,2025-08-24 16:00,205.01,205.01,62.84,30.78,WIN,1.594
SOL/USDT,2025-08-24 20:00,205.98,205.98,63.9,31.55,WIN,1.6
SOL/USDT,2025-08-27 04:00,202.43,202.43,58.53,23.24,WIN,1.693
SOL/USDT,2025-08-27 16:00,206.4,206.4,61.01,26.88,WIN,1.657
SOL/USDT,2025-08-27 20:00,202.95,202.95,55.88,27.31,WIN,1.711
SOL/USDT,2025-08-28 12:00,211.06,202.826251,62.15,30.25,LOSS,-3.901
SOL/USDT,2025-08-29 04:00,208.77,200.002173,54.99,30.09,LOSS,-4.2
SOL/USDT,2025-08-29 08:00,207.62,199.005446,53.54,28.86,LOSS,-4.149
SOL/USDT,2025-09-09 12:00,213.07,224.68722,56.78,22.01,WIN,3.817
SOL/USDT,2025-09-09 16:00,216.34,227.982418,61.49,21.19,WIN,3.767
SOL/USDT,2025-09-16 12:00,237.79,251.457209,53.97,27.6,WIN,4.023
SOL/USDT,2025-09-16 16:00,237.82,251.520265,54.03,25.9,WIN,4.033
SOL/USDT,2025-09-17 16:00,238.74,252.091193,55.09,20.6,WIN,3.915
SOL/USDT,2025-09-29 12:00,210.07,223.21746,56.02,32.28,WIN,4.381
SOL/USDT,2025-09-29 16:00,212.93,206.649768,59.94,30.23,LOSS,-2.949
SOL/USDT,2025-09-30 00:00,210.71,204.696402,55.52,26.83,LOSS,-2.854
SOL/USDT,2025-09-30 16:00,208.92,221.732725,52.31,24.59,WIN,4.293
SOL/USDT,2025-09-30 20:00,208.68,221.340387,51.85,23.8,WIN,4.247
SOL/USDT,2025-10-05 08:00,232.66,226.093192,59.77,31.86,LOSS,-2.822
SOL/USDT,2025-10-06 00:00,232.24,232.24,57.68,30.08,WIN,1.189
SOL/USDT,2025-10-06 12:00,235.64,229.412501,61.61,31.65,LOSS,-2.643
SOL/USDT,2025-10-06 16:00,235.35,229.193322,61.04,32.58,LOSS,-2.616
SOL/USDT,2025-10-07 04:00,231.01,224.835032,52.4,31.18,LOSS,-2.673
SOL/USDT,2025-10-08 16:00,229.34,222.502515,54.59,24.38,LOSS,-2.981
BNB/USDT,2025-06-03 00:00,667.65,657.952767,56.15,24.07,LOSS,-1.452
BNB/USDT,2025-06-03 08:00,665.2,656.085396,53.25,22.12,LOSS,-1.37
BNB/USDT,2025-06-03 12:00,667.19,658.078439,55.4,20.81,LOSS,-1.366
BNB/USDT,2025-06-09 08:00,655.51,671.188314,54.32,22.77,WIN,1.674
BNB/USDT,2025-06-09 12:00,656.58,672.05772,55.66,21.23,WIN,1.65
BNB/USDT,2025-06-10 04:00,660.71,660.71,57.44,21.03,WIN,0.471
BNB/USDT,2025-06-11 08:00,667.39,658.990974,58.37,20.63,LOSS,-1.258
BNB/USDT,2025-06-11 12:00,669.66,661.234904,60.55,20.45,LOSS,-1.258
BNB/USDT,2025-06-11 16:00,667.25,658.972697,57.13,20.14,LOSS,-1.241
BNB/USDT,2025-06-16 04:00,655.83,648.127603,55.1,30.52,LOSS,-1.174
BNB/USDT,2025-06-16 08:00,654.43,646.905774,52.91,28.75,LOSS,-1.15
BNB/USDT,2025-06-16 12:00,657.47,649.901219,56.91,26.92,LOSS,-1.151
BNB/USDT,2025-06-16 16:00,659.03,651.613846,58.84,25.22,LOSS,-1.125
BNB/USDT,2025-06-17 00:00,656.4,648.237959,53.77,24.03,LOSS,-1.243
BNB/USDT,2025-06-17 04:00,657.84,649.865962,55.36,23.14,LOSS,-1.212
BNB/USDT,2025-06-17 08:00,653.49,645.419536,49.77,22.8,LOSS,-1.235
BNB/USDT,2025-07-01 04:00,653.92,648.255819,56.83,23.01,LOSS,-0.866
BNB/USDT,2025-07-01 08:00,652.27,646.773403,53.16,22.38,LOSS,-0.843
BNB/USDT,2025-07-02 08:00,657.11,657.11,60.67,20.35,WIN,0.395
BNB/USDT,2025-07-02 20:00,659.71,653.4095,60.2,22.76,LOSS,-0.955
BNB/USDT,2025-07-03 08:00,661.91,655.877467,61.91,23.78,LOSS,-0.911
BNB/USDT,2025-07-03 12:00,657.07,657.07,53.41,23.06,WIN,0.416
BNB/USDT,2025-07-10 08:00,670.01,681.753138,64.82,20.47,WIN,1.227
BNB/USDT,2025-07-10 12:00,668.17,680.045057,60.13,21.32,WIN,1.244
BNB/USDT,2025-07-14 12:00,692.57,682.516558,55.07,37.64,LOSS,-1.452
BNB/USDT,2025-07-16 12:00,700.2,724.561576,63.18,23.36,WIN,2.435
BNB/USDT,2025-07-21 16:00,757.14,796.623629,61.16,50.76,WIN,3.65
BNB/USDT,2025-07-22 00:00,760.13,800.747159,60.59,49.97,WIN,3.74
BNB/USDT,2025-07-22 04:00,758.14,799.923077,59.0,48.53,WIN,3.858
BNB/USDT,2025-07-22 08:00,765.57,807.807857,62.92,47.31,WIN,3.862
BNB/USDT,2025-07-22 12:00,763.79,805.481581,61.4,46.31,WIN,3.821
BNB/USDT,2025-07-23 12:00,784.43,762.122994,60.04,48.81,LOSS,-2.844
BNB/USDT,2025-07-23 16:00,770.83,747.760352,53.08,46.71,LOSS,-2.993
BNB/USDT,2025-07-28 16:00,831.74,809.827596,63.05,34.28,LOSS,-2.635
BNB/USDT,2025-07-29 00:00,829.09,807.093499,60.54,32.63,LOSS,-2.653
BNB/USDT,2025-07-29 08:00,826.3,805.210415,58.71,30.29,LOSS,-2.552
BNB/USDT,2025-08-04 12:00,760.44,794.376398,47.55,28.89,WIN,3.124
BNB/USDT,2025-08-06 04:00,763.1,797.667765,52.01,21.16,WIN,3.171
BNB/USDT,2025-08-08 12:00,784.96,816.003982,60.4,27.56,WIN,2.768
BNB/USDT,2025-08-10 04:00,799.29,799.29,56.97,43.39,WIN,0.812
BNB/USDT,2025-08-11 04:00,811.82,796.161799,60.63,45.85,LOSS,-1.929
BNB/USDT,2025-08-11 12:00,807.43,844.177528,56.09,42.87,WIN,3.186
BNB/USDT,2025-08-11 16:00,806.32,842.857705,55.41,41.82,WIN,3.172
BNB/USDT,2025-08-12 12:00,820.68,858.541683,61.99,35.95,WIN,3.229
BNB/USDT,2025-08-13 12:00,841.44,841.44,64.27,39.29,WIN,0.974
BNB/USDT,2025-08-14 12:00,846.97,825.013634,60.25,39.06,LOSS,-2.592
BNB/USDT,2025-08-14 16:00,838.12,815.725946,54.75,36.5,LOSS,-2.672
BNB/USDT,2025-09-08 04:00,874.18,874.18,63.21,34.03,WIN,0.478
BNB/USDT,2025-09-09 12:00,873.35,895.19737,54.12,30.83,WIN,1.751
BNB/USDT,2025-09-10 04:00,883.43,904.731832,63.72,26.9,WIN,1.688
BNB/USDT,2025-09-11 12:00,893.31,918.080822,62.76,37.03,WIN,1.941
BNB/USDT,2025-09-14 12:00,924.3,954.768083,58.05,53.43,WIN,2.307
BNB/USDT,2025-09-16 04:00,930.89,960.906896,60.2,36.2,WIN,2.257
BNB/USDT,2025-09-16 12:00,937.64,968.678854,63.38,35.24,WIN,2.317
